severity,seed,H,val_n,val_pos,dr_ece_raw,dr_auc_raw,dr_ece_cal,dr_auc_cal
1,42,10,163,61,0.36466126580454084,0.36933461909353904,0.06836877370123622,0.4537929926068788
1,42,20,163,75,0.45337202057150977,0.2795454545454546,0.39610532113997665,0.27621212121212124
1,42,30,163,87,0.5376493205413496,0.2772988505747126,0.4493051855532313,0.2459921355111918
1,42,50,163,102,0.6239896257596513,0.32883317261330763,0.43699358549385764,0.30456444873031185
1,123,10,163,61,0.3637048862988781,0.3725490196078431,0.06946255973723897,0.4431051108968178
1,123,20,163,75,0.4568262275399789,0.28583333333333333,0.3983036062313322,0.28507575757575754
1,123,30,163,87,0.5387467575928002,0.27593768905021177,0.4336791313627687,0.25241984271022383
1,123,50,163,102,0.6255817696040759,0.3209578913532626,0.42376786103936365,0.3103503696560592
1,456,10,163,61,0.36255195115241534,0.36933461909353904,0.06951634911034277,0.430729668916747
1,456,20,163,75,0.45224816288136266,0.2833333333333333,0.3955746823724382,0.27999999999999997
1,456,30,163,87,0.533179682388079,0.2814579552329099,0.4528186257386526,0.2514367816091954
1,456,50,163,102,0.6237183264885212,0.32144005143040827,0.4231246798525479,0.31252009000321446
1,789,10,163,61,0.3666112101493986,0.36837029893924783,0.07006254754781327,0.4521857923497267
1,789,20,163,75,0.44435049438037766,0.28765151515151516,0.3929392873079243,0.2775757575757576
1,789,30,163,87,0.5247296000962244,0.2924984875983061,0.4302623320544055,0.2515124016938899
1,789,50,163,102,0.6177261447065446,0.3379942140790743,0.41146226368778327,0.31918997107039543
1,101112,10,163,61,0.3672839657409242,0.3730311796849887,0.0712406868334558,0.4451141112182578
1,101112,20,163,75,0.4549916629319541,0.274469696969697,0.3927026888776385,0.2666666666666667
1,101112,30,163,87,0.5348952695773057,0.26890502117362375,0.42307362636740564,0.2602087114337568
1,101112,50,163,102,0.622840856779024,0.3105110896817743,0.4468461531898753,0.3006268081002893
2,42,10,163,61,0.3566090492474521,0.3542269366763098,0.09930258419593926,0.4950980392156863
2,42,20,163,75,0.4543608862312476,0.2593939393939394,0.4100228903525462,0.2520454545454546
2,42,30,163,87,0.5318122233372706,0.2595281306715064,0.4697784985188082,0.22481851179673323
2,42,50,163,102,0.6303273147212034,0.2679202828672453,0.4524858024045617,0.2576342012214722
2,123,10,163,61,0.35688374378929844,0.34876245580199294,0.09021175658992485,0.49742847958855674
2,123,20,163,75,0.45239818698378065,0.24871212121212122,0.4187589386436988,0.23962121212121212
2,123,30,163,87,0.5307185218720896,0.23669086509376888,0.47852081716097294,0.19872958257713252
2,123,50,163,102,0.6305033234947939,0.24381227900996466,0.44785396810206624,0.2268563162970106
2,456,10,163,61,0.3446225150962549,0.35824493731918994,0.09696977067416308,0.5126165220186435
2,456,20,163,75,0.4506167357821772,0.26530303030303026,0.4195713093325739,0.2478787878787879
2,456,30,163,87,0.5288704435221075,0.24032062915910463,0.47926700381256865,0.20001512401693894
2,456,50,163,102,0.629811859529671,0.2442944390871103,0.46157858410944097,0.22018643522982967
2,789,10,163,61,0.35873074397627563,0.354789456766313,0.09133529097865711,0.5088396014143362
2,789,20,163,75,0.45377735650749657,0.26946969696969697,0.41582170889500825,0.2577272727272727
2,789,30,163,87,0.5297736706086462,0.24243799153055054,0.4757419026431286,0.2248185117967332
2,789,50,163,102,0.6302209060433451,0.25731276117004176,0.4483540903341557,0.23842815814850532
2,101112,10,163,61,0.3533610702018065,0.3400835744133719,0.1037020100845841,0.5024911603985857
2,101112,20,163,75,0.45274752215625136,0.26234848484848483,0.4212503301496161,0.2525
2,101112,30,163,87,0.5305789869987159,0.23381730187537808,0.47825030040055555,0.20114942528735633
2,101112,50,163,102,0.6342708090308802,0.25072324011571845,0.44646843959947086,0.23754419800707172
3,42,10,163,61,0.34846699621779786,0.37833494053359046,0.07403289594879359,0.5356798457087754
3,42,20,163,75,0.4484251452598469,0.308030303030303,0.3304832158614197,0.31522727272727274
3,42,30,163,87,0.5258719515672492,0.3104960677555959,0.29421713347520295,0.28939806412583186
