H,ece_raw,auc_raw,ece_cal,mce_cal,ace_cal,auc_cal,brier_cal,n_test,n_pos
10,0.3748393764296558,0.6186113789778206,0.3371446306085147,0.5095927165484,0.3217613828749625,0.5776277724204436,0.2533041375990565,163,61
20,0.33616206785835373,0.6700757575757575,0.2308817700927512,0.3125,0.20003214361104998,0.5940151515151515,0.21347839386581705,163,75
30,0.3800122323303135,0.645946763460375,0.3688774814920826,0.48329501196565144,0.33663723931618283,0.5931639443436176,0.33200321502584956,163,87
50,0.4916886174194286,0.5748955319832851,0.4129648002852383,0.6404016151915312,0.45240926563959866,0.48489231758277085,0.41018691818290576,163,102
