severity,seed,H,val_n,val_pos,auc_raw,brier_raw,ece_raw,mce_raw,ace_raw,auc_cal,brier_cal,ece_cal,mce_cal,ace_cal,auc_recal,ece_recal,mce_recal,ace_recal,ece_recal_platt,ece_recal_temp,T_opt
1,42,10,163,61,0.6159109477124183,0.3357292413711548,0.34010635450685106,0.43045753240585327,0.32918632038802437,0.568218954248366,0.31740437482441425,0.3036883237191593,0.6378378378378379,0.3036883237191593,0.683312908496732,0.32341066934960283,0.769882341225942,0.3506217554312985,0.27708263543187356,0.04401722164389201,10.0
1,42,20,163,75,0.5372538089929394,0.4598827362060547,0.4678064969678721,0.895060732960701,0.42847544624989686,0.6129691564474172,0.3453128423468629,0.3434235227307613,0.6601114059573399,0.38488437138452486,0.6048866592344853,0.1872933457107014,0.8283094167709351,0.29677656495652227,0.10852129909456992,0.12072143989659351,7.920663197521094
1,42,30,163,87,0.6064677538917717,0.4862384498119354,0.500214907385054,0.8767047077417374,0.4545010413980859,0.5618977020014826,0.3628931374384323,0.37447216932454247,0.5384615384615387,0.3731527935975837,0.6590993328391401,0.17768657187215328,0.7231903374195099,0.212845294907385,0.17091925127976604,0.12573586837103148,10.0
1,42,50,163,102,0.4787234042553192,0.6239873170852661,0.6380027704650447,0.8861960470676422,0.5845435489963765,0.4541348855881172,0.5449925555338805,0.5509810619125604,0.684031507339778,0.5287783157834338,0.5516860698514653,0.1871711613268268,0.38146543502807617,0.3164228378307251,0.13986197722201443,0.2765602663517217,10.0
1,123,10,163,61,0.619236729949632,0.37824782729148865,0.38377361943577826,0.522440642118454,0.3741376826002699,0.5743897714064315,0.35937706812067166,0.3478426481567974,0.5130566176167706,0.34784264815679744,0.6117783804726851,0.30154072844302976,0.39402055740356445,0.33699624095552405,0.20706789631421874,0.23560954223510805,3.2578482097148305
1,123,20,163,75,0.5382153614457832,0.4236776530742645,0.4279953803689707,0.8646436929702759,0.4001528624980552,0.6353539156626506,0.315476502117285,0.3025336605833385,0.6247484909456741,0.3528770665890472,0.6437311746987953,0.1805459073472287,0.8585208654403687,0.2269499079913509,0.256776741167315,0.09209928483008223,10.0
1,123,30,163,87,0.6234247590808006,0.486936092376709,0.5028164067692092,0.8783500790596008,0.4515184135980854,0.558932542624166,0.3647443021401526,0.37706679473366783,0.5747228381374724,0.3621419768298384,0.6820793180133433,0.2151434790466985,0.7849902391433716,0.22535490903521882,0.17014354791770986,0.13115175957612502,10.0
1,123,50,163,102,0.5173913043478261,0.6144523620605469,0.6328659225381962,0.8822441846132278,0.5715165306357857,0.492292490118577,0.5324715549194353,0.5388576685655526,0.666052792277449,0.5166549224364262,0.5899209486166008,0.0810123846238973,0.6756407618522644,0.2932176046630963,0.04557051747834602,0.2636061169407075,10.0
1,456,10,163,61,0.621863799283154,0.35091644525527954,0.35659873493167815,0.44735753536224365,0.34589800208673943,0.5722819593787336,0.33450390735144764,0.3287239196847384,0.6378378378378379,0.32012971277120383,0.6996216646754281,0.1264819442928091,0.6666666666666667,0.2626883528974591,0.07014724977162418,0.021909640943559884,10.0
1,456,20,163,75,0.5345117845117846,0.43170908093452454,0.43505188271555373,0.6546100974082947,0.40803864298445386,0.6569397680508792,0.32049950126817905,0.3096512111630228,0.567605633802817,0.35156501005898627,0.4876543209876543,0.0730744016413786,0.6143144369125366,0.36559136465293207,0.12398150178039968,0.09774886215023021,10.0
1,456,30,163,87,0.5855629877369009,0.49304303526878357,0.5055712326904948,0.8657162189483643,0.4718481546590978,0.5369751021924936,0.37354789543358713,0.3813480253363545,0.5384615384615387,0.3737492147585323,0.6247677443329618,0.13571147899441166,0.6429798901081085,0.27895497485082976,0.04769642661217925,0.1315909744650005,10.0
1,456,50,163,102,0.5307105580088318,0.6270804405212402,0.6431806578750715,0.8814302980899811,0.6029954575553385,0.5049177037334405,0.543685910423294,0.5571168069847772,0.6719211394823693,0.5286121535896768,0.4738057005218788,0.25406626819753325,0.7521581649780273,0.4531965507131045,0.15924955022578338,0.28322947203520626,10.0
1,789,10,163,61,0.6380494505494505,0.3647328019142151,0.3711853203851552,0.522440642118454,0.36046508694824697,0.5713304552590266,0.34613675672772537,0.33847282152130836,0.4692519226720374,0.3342413853570991,0.6358908948194663,0.12510268369904992,0.8521511852741241,0.23621378849786356,0.06846322899773005,0.08697127814463562,6.666041727516153
1,789,20,163,75,0.5157126823793491,0.43046069145202637,0.4340775804657515,0.895060732960701,0.4077220961251961,0.5889450056116723,0.3326273029037007,0.30897252369997685,0.518452868283224,0.36560523788178606,0.5982042648709315,0.1855273580964224,0.7752314060926437,0.26754699840026647,0.12349159113403893,0.10110343833109553,10.0
1,789,30,163,87,0.625,0.5035346150398254,0.5154521601642069,0.8673765659332275,0.4815550870737251,0.5471891288160834,0.37774291892805384,0.39104700761488986,0.5792682926829269,0.4106590813908092,0.5946574832464632,0.07645695659388996,0.31382011042700875,0.19697410506861554,0.03634209089538678,0.14575962699768305,10.0
1,789,50,163,102,0.5111852433281004,0.6050161719322205,0.6207591317796789,0.8814551010727882,0.5656421513385361,0.49803767660910514,0.5247986488463298,0.5311154870750342,0.6465135208348936,0.5168194407538222,0.5854591836734695,0.11842690413298249,0.6372557282447815,0.26801604716753474,0.06641944533302668,0.25622087344685635,10.0
1,101112,10,163,61,0.6269980506822612,0.37052232027053833,0.3755259324295991,0.44735753536224365,0.36889557677422496,0.5736842105263158,0.3491804037186762,0.34268460596037464,0.5633416895027287,0.3435218639404898,0.6600389863547758,0.1401139714685427,0.8583757877349854,0.2784359705013534,0.13765320790057278,0.13483035972702181,5.142013561426979
1,101112,20,163,75,0.5,0.4415384531021118,0.44676892943426866,0.6546100974082947,0.4089634405578911,0.5840485074626867,0.3375798133651229,0.32157413904061516,0.642605633802817,0.3712568870887848,0.5865671641791045,0.07759937422578127,0.6222881078720093,0.30843264092596206,0.04433087629525839,0.09488704265877798,10.0
1,101112,30,163,87,0.5881642512077295,0.5078129172325134,0.5207074647959398,0.8723099231719971,0.4696560074530896,0.5358602749907098,0.37633587149717024,0.39288197151223797,0.6325469812075171,0.37795715360840854,0.5637309550353029,0.13692533240026358,0.5,0.2867670274105201,0.02804807781362204,0.14684260824884185,10.0
1,101112,50,163,102,0.47888415342890356,0.6016708016395569,0.6149855702862043,0.8838874772191048,0.5464733172996843,0.4579620302208446,0.5229833843798517,0.5291417593881966,0.6504518872939926,0.49963547834817335,0.4936071290197598,0.19425487031742017,0.8333333333333334,0.36339509973720624,0.2097740651798897,0.2519486368256847,10.0
2,42,10,163,61,0.5616830065359477,0.33522945642471313,0.3387670312456939,0.43045753240585327,0.3280827691501361,0.513888888888889,0.3144586156099666,0.29512038970726556,0.3158491020879275,0.29952253518083954,0.6141748366013071,0.3628066326079726,0.7034767866134644,0.40556667248408,0.27765233662663674,0.037396728512640684,10.0
2,42,20,163,75,0.5258268301746563,0.454515665769577,0.4614522738927076,0.8775942921638489,0.42526980974793843,0.5942958008175399,0.3322723110785282,0.3230310042718028,0.45454545454545453,0.36635151945512956,0.5258268301746563,0.23253273740917652,0.8289585113525391,0.3572735283650508,0.1085532258967964,0.19789278606961533,6.285150440479628
2,42,30,163,87,0.4925871015567087,0.4829613268375397,0.4942396293033143,0.8662696480751038,0.444105766824491,0.4863787991104522,0.3876124151850908,0.38165956544900986,0.5384615384615387,0.38034018972205114,0.5496664195700519,0.15138064811424332,0.7111684083938599,0.27808872291019987,0.17082400305741496,0.12292420695820817,10.0
2,42,50,163,102,0.5363307908470494,0.6136939525604248,0.6300275346048835,0.8527945876121521,0.5814612252308297,0.5043155359293456,0.5121179683936613,0.5305841958512864,0.6313793036015578,0.5083814497221598,0.6099959855479726,0.0666066954913391,0.8112748563289642,0.2504593137981129,0.14000051199984387,0.26097919125851143,10.0
2,123,10,163,61,0.5663502518403719,0.3783299922943115,0.37873642953733594,0.43045753240585327,0.373919603315049,0.49970941495544363,0.35586732153003436,0.34999893748353184,0.3780870990100785,0.34247492995952433,0.5494963192561023,0.3380909298838047,0.587073028087616,0.34922425611084007,0.2070662571864874,0.22696237727394034,3.236168017503123
2,123,20,163,75,0.5128953313253012,0.4196576774120331,0.42261054731753406,0.8850987553596497,0.3974321741598094,0.5680534638554217,0.3101437763678583,0.2839940574952205,0.45454545454545453,0.33470363136805964,0.5547816265060241,0.21857836954042215,0.817912220954895,0.267903322113209,0.25602315964341976,0.04786132653937659,10.0
2,123,30,163,87,0.5034284655300223,0.4839840829372406,0.4966008421160332,0.8662696480751038,0.44665353670462854,0.48081912527798365,0.3784323441069464,0.3743016141420459,0.5384615384615387,0.35937679623821644,0.6221275018532246,0.31370744555174906,0.8363808989524841,0.34067068398505657,0.17045333028650608,0.12714785489336858,10.0
2,123,50,163,102,0.5549407114624506,0.6055816411972046,0.6202670712860263,0.8461445569992065,0.5694063926102961,0.508399209486166,0.5056420324603126,0.5207117428710506,0.6114561508914447,0.4985089967419241,0.657707509881423,0.1205650147075961,0.5492558479309082,0.2882069527190559,0.04557844367967983,0.24924207985431218,10.0
2,456,10,163,61,0.577857427319793,0.3517165780067444,0.35255853566309425,0.43045753240585327,0.34625376052093265,0.5319593787335724,0.3325691283665039,0.31458798947762884,0.34396299115198525,0.31605319094283024,0.6189765033851056,0.1093538724975724,0.7357216477394104,0.28622463884047505,0.07014796502736148,0.04738268895754183,10.0
2,456,20,163,75,0.5232884399551067,0.4280340075492859,0.429832450551342,0.8798139318823814,0.40610308207090007,0.5909090909090908,0.3159019266697861,0.29200551997963536,0.45454545454545453,0.34900440202857524,0.5872615039281707,0.10409941559746154,0.6326283812522888,0.272312094463783,0.13065550116454663,0.07303158372922451,10.0
2,456,30,163,87,0.5042735042735043,0.489785760641098,0.5008537915795027,0.8657162189483643,0.4623890457085657,0.4968413229282794,0.391183161424907,0.3897975507952145,0.5384615384615387,0.3685932980405217,0.529635823114084,0.14380857297757854,0.2963613271713257,0.2778512240659927,0.03417029753834213,0.12977214381438956,10.0
2,456,50,163,102,0.5708550782818145,0.619142472743988,0.6369812436731291,0.8541749715805054,0.5996832157497858,0.5381372942593335,0.513505108790797,0.5382703840914012,0.6040129776615177,0.5097657306963007,0.6421116017663588,0.2472334373805697,0.5315757870674134,0.3330169588732882,0.13939611806350505,0.2689670635821138,10.0
2,789,10,163,61,0.5772174254317112,0.36483854055404663,0.3659220952097149,0.43045753240585327,0.3597354676755031,0.5228610675039246,0.34389029045448116,0.3252754765092973,0.36831068527417077,0.3269443353210132,0.5774136577708007,0.06129839866213043,0.7788161337375641,0.2717438891948181,0.06846987491562251,0.08125554893424591,6.681192468752
2,789,20,163,75,0.5323606434717546,0.4253748059272766,0.42798659053384047,0.8889953643083572,0.40447783473004795,0.5742611298166853,0.31617175573201606,0.28786107847067777,0.45454545454545453,0.34393784843724534,0.5862326973438085,0.21620356079292338,0.563642144203186,0.29854562260261197,0.12324088791600704,0.05342566372022391,10.0
2,789,30,163,87,0.5005584512285928,0.49901139736175537,0.5085545357595496,0.8673765659332275,0.4748634016711493,0.48436336559940435,0.3942546206841249,0.39317650354701683,0.5384615384615387,0.3991831351460654,0.5377885331347729,0.11939553695977949,0.606311559677124,0.2357386766749174,0.036750152808468335,0.14180187906475006,10.0
2,789,50,163,102,0.5824175824175825,0.5947017669677734,0.6177491076594712,0.8577785491943359,0.5617330126451696,0.5526883830455258,0.4902895863486971,0.5091907012809646,0.5656333573320289,0.48698795515183796,0.6520800627943485,0.09808937820042071,0.6312205791473389,0.26861704054738395,0.06630273943855647,0.2474180650804548,10.0
2,101112,10,163,61,0.5606237816764132,0.3705683946609497,0.37455744718258477,0.6067344844341278,0.36834817594645836,0.5010721247563352,0.3475706410698658,0.3393003655848567,0.5106382978723405,0.33525550439713836,0.5930799220272904,0.14503983980310814,0.7828063368797302,0.24980170690283482,0.1376553536677847,0.12117356194803953,5.15959472450497
2,101112,20,163,75,0.4803171641791044,0.4369330406188965,0.44071235606560893,0.8647301644086838,0.40571900177747017,0.557089552238806,0.3221696520286736,0.2941403116187605,0.45454545454545453,0.34418922753406067,0.5771455223880596,0.1575233657800016,0.5722333788871765,0.31606850709107254,0.04449385769513188,0.0666013313770962,10.0
2,101112,30,163,87,0.4632107023411371,0.5031741261482239,0.5138634152609068,0.8662696480751038,0.46305849487405437,0.45094760312151616,0.38899132115839835,0.3889399957740477,0.5384615384615387,0.3876206200470889,0.5314938684503902,0.08592807537033442,0.45334537462754687,0.43508541644835963,0.02777659041540958,0.14234709155525385,10.0
2,101112,50,163,102,0.5577295621851995,0.5927712321281433,0.6049283425621436,0.8619217872619629,0.5441260181722186,0.5313831848120883,0.4881524475690799,0.5085195641367493,0.5817775144637605,0.47901328309672575,0.6274699728787292,0.1869763496781693,0.8296290834744772,0.37132218094910086,0.20965005224253855,0.23553746712474663,10.0
3,42,10,163,61,0.6053921568627452,0.33351901173591614,0.33715832058568396,0.36242175102233887,0.32663841191900983,0.566687091503268,0.3087316504324038,0.28418626066928465,0.3257953369524686,0.28636207373174316,0.679330065359477,0.3471965818178086,0.45585999091466267,0.3526386942993216,0.2776362433725474,0.04112193597188167,10.0
3,42,20,163,75,0.6391675956893348,0.4507472813129425,0.45847357163319785,0.8801698088645935,0.4213828423795398,0.5647528799702712,0.33360305731281087,0.32292324064524813,0.45454545454545453,0.35041308463289955,0.6635079895949461,0.14699101549427523,0.8246852159500122,0.17668386969436592,0.11462346935758783,0.23189807511541813,5.544545404391116
3,42,30,163,87,0.5485544848035582,0.47867351770401,0.4869588253652157,0.8656633496284485,0.4322345227091795,0.5035211267605634,0.360739059123979,0.369185159593535,0.5406761396312418,0.36096703340083386,0.6475166790214975,0.1292828404579033,0.7173657417297363,0.29493698031723903,0.17080606205933757,0.2400045809786218,10.0
3,42,50,163,102,0.5495784825371337,0.6115844249725342,0.6246354991861548,0.8601008355617523,0.5815284260529643,0.5495784825371337,0.45249899206786276,0.50707600986054,0.6489243708010493,0.4719218556361551,0.7220995584102771,0.04505410283601206,0.46566063165664673,0.24641443125041976,0.1397797805922372,0.3736346387095555,10.0
