H,mean_diff,ci_lo,ci_hi,rank_biserial_r,cohen_dz
10,0.1406650555417956,0.11316711609523686,0.16883692215249282,1.0,2.178267026557928
20,0.14167311286952486,0.10726733258334428,0.17585809326269553,1.0,1.7574679539539408
30,0.19338150620907543,0.1621081059811057,0.22278006823545127,1.0,2.7473282843227462
50,0.3578189724039112,0.3332405375351086,0.3824813795046554,1.0,6.210955149913891
